Comment,Designator,Footprint,LCSC Part #
4.7k,R1 R2,R0402,
10k,R3,R0402,
100nF,C6,C0402,
AFC07-S06ECA-00,U$1 U$2 U$4,6PIN_TOUCH,
JST-SH_4P/90,J1,JST-SH_4P/90,C7430446
